STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,2782.784,35.83629382,0.819667102,12.887,146.843,7.759829612,0.200035624,29.37383111,43.5889064,5.2292187,,
1,7549.969,37.1991857,2.142361875,21.745,415.892,2.97199615,0.191622145,79.69411722,45.08623983,5.253279281,,
1,9941.494,36.9745501,2.838114107,29.715,566.718,2.081228955,0.185167918,104.9379922,44.19855488,4.941337754,,
1,3130.258,37.03886358,0.892079536,20.703,170.467,7.255609291,0.193829963,33.04161222,45.54148281,5.264146309,,
1,4166.604,37.3968958,1.176055367,23.03,229.446,5.226630798,0.191682662,43.98082,44.68387796,5.144394776,,
1,2481.172,36.97516554,0.708317286,20.289,134.857,8.455608596,0.194206818,26.19014889,43.55228135,5.08477722,,
1,4808.094,37.56552636,1.351028676,25.874,271.709,4.461410192,0.186788451,50.75210333,44.34298106,5.106241071,,
1,2745.751,36.88577288,0.785748134,19.708,155.582,7.760668332,0.186287149,28.98292722,44.46932907,5.058022915,,
1,572.424,35.59381046,0.169755732,11.311,35.439,38.21170085,0.170497286,6.042253333,45.03490307,5.126796354,,
1,5007.097,35.61488928,1.484005471,11.448,295.221,4.416948839,0.179027544,52.85269056,42.67105757,5.470865816,,
1,9587.15,37.27965448,2.71455559,22.268,546.239,2.321314262,0.185262668,101.1976944,44.73937804,5.250668689,,
1,12638.749,36.36864942,3.668242273,33.653,741.476,1.796423111,0.179923581,133.4090172,43.84905619,5.465546186,,
1,14298.283,35.37779102,4.266131836,40.093,859.501,1.485466085,0.175597609,150.9263206,44.59654553,5.027203966,,
1,14512.566,34.18214496,4.48152674,47.864,906.448,1.548692939,0.168998328,153.1881967,43.46931306,5.457677193,,
1,13464.364,33.20667256,4.279978428,54.204,870.961,1.680294393,0.163180489,142.1238422,44.96551726,5.310956256,,
1,11860.98,33.74749046,3.709882768,50.689,757.051,1.699835095,0.165377542,125.1992333,43.16347901,4.930511988,,
1,9253.89,34.97344694,2.792974629,42.721,577.046,2.289916556,0.169275846,97.67995,44.88344412,4.983551041,,
1,5386.381,36.9553176,1.538513199,29.84,334.599,4.095812228,0.169923532,56.85624389,44.14636021,5.275010167,,
1,936.378,35.75613276,0.276427825,12.366,60.958,23.36414403,0.162144263,9.88399,42.96290273,5.375124846,,
1,2029.698,35.2090066,0.608497429,8.81,110.052,10.83997792,0.194676971,21.42459,43.39710407,5.351557148,,
1,4461.251,36.38495858,1.294243133,16.453,241.989,4.992886273,0.194599683,47.09098278,44.68366726,5.261876115,,
1,12376.341,36.44234836,3.584817139,33.174,724.071,1.761379173,0.180423128,130.639155,44.3719983,5.185817533,,
1,14003.398,34.96867728,4.227029932,42.752,853.196,1.429725284,0.173246998,147.8136456,44.25248192,4.775617033,,
1,14679.663,34.568949,4.482404089,45.35,904.852,1.499062026,0.171245683,154.9519983,43.78421443,5.305168987,,
1,8935.628,35.46641438,2.659432013,39.517,534.04,2.374931592,0.176616953,94.32051778,44.55167449,5.027976613,,
1,9466.161,34.8812848,2.86459025,43.32,579.865,2.27021283,0.172316985,99.92058833,43.93941659,5.162585652,,
1,2176.07,37.50982904,0.612362902,26.236,121.599,9.446173961,0.188896519,22.96962778,42.56932446,5.096982453,,
1,658.593,36.30125874,0.191503415,15.909,35.089,33.76147757,0.198119496,6.951815,43.74426046,5.365356362,,
1,53.987,35.79782882,0.01591892,12.637,2.835,405.6460442,0.201009798,0.569862778,44.9980946,5.137163775,,
1,586.195,35.30163032,0.175278417,9.412,30.343,37.67025091,0.203922285,6.187613889,43.32600247,5.379886314,,
1,2104.225,36.22479032,0.61315093,15.412,111.861,10.19007163,0.198561285,22.21126389,44.59006876,5.075891926,,
1,1659.546,36.49004496,0.480060521,17.136,88.911,12.90891071,0.197022078,17.51743,44.18019395,5.11837816,,
1,4283.829,37.36412362,1.210203549,22.817,235.69,5.40648281,0.191854533,45.218195,44.94197591,5.43971174,,
1,4599.451,37.57014216,1.292243195,24.156,254.601,4.633867357,0.190689591,48.54976056,42.77125788,5.259914292,,
1,2016.694,36.92946912,0.576431941,19.992,109.462,11.30880877,0.194472288,21.28732556,44.96886682,5.353354688,,
1,2353.316,36.84084576,0.674266762,19.416,127.396,9.053706182,0.194986952,24.84055778,42.95430385,5.235775961,,
1,394.785,35.9952312,0.115770197,13.92,20.847,55.21421907,0.19989327,4.167175,43.70785033,5.264210242,,
1,598.526,35.64150706,0.177258903,11.621,31.284,35.72009958,0.201949062,6.317774444,43.23540901,5.219599801,,
1,54.941,35.18561988,0.016482096,8.658,2.835,387.7210908,0.204561826,0.579932778,44.13211767,5.094978013,,
1,739.695,35.07468682,0.222607595,7.937,38.043,30.17510412,0.20523859,7.807891667,44.64928252,5.276768869,,
1,8487.586,37.2868859,2.402753231,22.315,482.167,2.484777001,0.185809451,89.59118556,42.93471144,5.184944999,,
1,11689.251,36.6452897,3.367050427,31.855,679.057,1.733115526,0.181702771,123.3865383,44.48008915,4.807614583,,
1,13568.409,36.34587814,3.940531976,33.801,790.022,1.533560359,0.181288743,143.222095,42.98229975,5.110004088,,
1,14312.97,35.97338308,4.199809333,36.222,841.991,1.540864049,0.17943345,151.08135,44.44768224,5.23752441,,
1,1232.541,36.74237536,0.354091288,18.776,66.528,17.28784137,0.195559088,13.010155,44.14127185,5.095401341,,
1,12216.55,36.72483532,3.511315193,31.338,705.674,1.665070618,0.182736607,128.9524722,43.8417279,4.897502513,,
1,9063.785,36.98855136,2.586564831,29.624,527.583,2.387780691,0.181342625,95.67328611,43.38667446,5.265368412,,
1,4934.697,37.52183012,1.38821769,23.842,293.47,4.480084294,0.177491629,52.08846833,43.79158701,5.328894082,,
1,651.06,35.76305646,0.192161987,12.411,39.201,33.15224136,0.175309303,6.8723,44.66750789,5.100623676,,
1,4253.367,36.60574768,1.226491863,17.888,255.111,5.263262461,0.175988694,44.89665167,45.7918961,5.160364201,,
1,8590.352,37.246113,2.434507402,27.95,501.346,2.386696272,0.180864987,90.67593778,44.04023854,4.914049737,,
1,11716.159,35.88691376,3.446118773,36.784,697.346,1.867168408,0.177344628,123.6705672,44.35693572,5.205809923,,
